    67/299    0.895G   0.02821   0.01793  0.003317   0.04946       145       320    0.7632    0.7188    0.7464    0.4829   0.02916   0.01132  0.004854
    68/299    0.895G   0.02906    0.0186  0.003216   0.05088        82       320    0.8352    0.5495    0.6645    0.3997   0.02895   0.01138  0.008523
    69/299    0.895G   0.02863   0.01816  0.002849   0.04964       100       320    0.9596     0.667    0.7462    0.4798   0.02848   0.01111  0.004743
    70/299    0.895G   0.02958   0.01813  0.003078   0.05079        61       320    0.8686    0.6591    0.7555    0.4725     0.029   0.01132  0.005084
    71/299    0.895G   0.02896   0.01725  0.002982    0.0492        58       320    0.9198    0.6375     0.753    0.4733   0.02926   0.01116  0.005621
    72/299    0.895G   0.02872   0.01834  0.003207   0.05027        61       320    0.8822    0.6749    0.7517     0.474   0.02836   0.01104  0.004905
    73/299    0.895G   0.02794   0.01764  0.002953   0.04854       153       320    0.8302    0.7465    0.7917     0.496   0.02951   0.01124  0.004174
    74/299    0.895G   0.02877   0.01695  0.002729   0.04846       101       320    0.8345     0.694    0.7457    0.4882   0.02886   0.01092   0.00484
    75/299    0.895G   0.02806   0.01814  0.002613   0.04882       106       320     0.811    0.6982    0.7461    0.4888   0.02952   0.01123  0.004727
    76/299    0.895G    0.0294   0.01691  0.002662   0.04897        63       320    0.8695    0.7053    0.7599    0.4941   0.02934   0.01128  0.004533
    77/299    0.895G   0.02805   0.01806  0.002853   0.04897        85       320    0.8838    0.6936    0.7672    0.5004   0.02854    0.0111  0.004928
    78/299    0.895G   0.02752   0.01795  0.002692   0.04816        91       320    0.7861    0.7334    0.7789     0.489   0.02844   0.01097  0.005047
    79/299    0.895G   0.02697   0.01715  0.002572   0.04669        50       320    0.7993     0.766     0.791    0.4926   0.02933   0.01096  0.004682
    80/299    0.895G   0.02815   0.01809  0.002601   0.04883        66       320    0.8684    0.7143    0.7839    0.4971    0.0286   0.01108  0.004926
    81/299    0.895G   0.02768   0.01769   0.00248   0.04786        99       320     0.932    0.7265    0.7943    0.5212   0.02841   0.01101  0.004357
    82/299    0.895G   0.02713   0.01785  0.002316    0.0473       104       320    0.8666    0.7357    0.7695    0.5154   0.02842     0.011  0.004681
    83/299    0.895G   0.02784   0.01671  0.002399   0.04694        71       320    0.9232    0.6569    0.7427    0.5015   0.02832   0.01118  0.004617
    84/299    0.895G   0.02671   0.01732  0.002783   0.04682       124       320    0.7901    0.7316    0.7367    0.4695   0.02851   0.01095  0.005271
    85/299    0.895G   0.02663    0.0179  0.002628   0.04716       101       320    0.9291    0.6823     0.764    0.4999   0.02834   0.01133  0.004713
    86/299    0.895G   0.02714   0.01756  0.002736   0.04744        86       320    0.9338    0.6326    0.7387    0.4808   0.02831   0.01134  0.005287
    87/299    0.895G   0.02741   0.01708  0.002768   0.04726        74       320     0.905    0.7001    0.8047    0.4993   0.02787     0.011  0.004559
    88/299    0.895G   0.02517   0.01662  0.002402    0.0442        84       320    0.8179    0.6802    0.7416    0.4768   0.02808   0.01112  0.004395
    89/299    0.895G   0.02784   0.01771  0.002582   0.04814        90       320    0.8698    0.6831    0.7437     0.477   0.02756   0.01097  0.005316
    90/299    0.895G   0.02598   0.01801  0.002429   0.04642        62       320    0.9834    0.6741     0.802    0.5312    0.0273   0.01114  0.003764
    91/299    0.895G   0.02629   0.01758  0.002312   0.04618        69       320    0.8274    0.7636    0.8191    0.5354    0.0275   0.01092  0.003483
    92/299    0.895G   0.02577   0.01736  0.002505   0.04564        58       320    0.8061    0.6828     0.715    0.4405    0.0281   0.01122  0.006001
    93/299    0.895G   0.02554   0.01715  0.002401   0.04509        56       320    0.9375    0.6887    0.7685    0.4846     0.028   0.01116  0.005122
    94/299    0.895G   0.02464   0.01611  0.002688   0.04344       115       320     0.887     0.733    0.7928    0.5194   0.02756   0.01102  0.004813
    95/299    0.895G   0.02736   0.01753   0.00248   0.04738        67       320    0.8717    0.7344     0.806    0.5323   0.02733   0.01092  0.004616
    96/299    0.895G   0.02688   0.01661  0.002449   0.04594       103       320    0.9004    0.6908    0.7787     0.509   0.02766   0.01104  0.004884
    97/299    0.895G    0.0258   0.01751  0.002048   0.04535        60       320    0.9577    0.6667    0.7892    0.5154   0.02782   0.01093  0.004175
    98/299    0.895G   0.02534   0.01641  0.002163   0.04391        57       320     0.942    0.7107    0.7788    0.5135   0.02823   0.01143  0.003965
    99/299    0.895G   0.02675    0.0171  0.002304   0.04616        82       320     0.935    0.7144    0.7858    0.5114   0.02777   0.01096  0.003758
   100/299    0.895G   0.02615   0.01713  0.002346   0.04563        86       320    0.9412    0.6795    0.7628    0.4996   0.02759   0.01091  0.004481
   101/299    0.895G   0.02636   0.01696  0.002123   0.04545        90       320    0.9144    0.7118    0.8173    0.5267   0.02852   0.01125  0.003396
   102/299    0.895G   0.02533   0.01716  0.002086   0.04457        68       320    0.8841    0.7727    0.7931    0.5204   0.02755   0.01105  0.003709
   103/299    0.895G   0.02613   0.01682  0.001953    0.0449        92       320    0.9377    0.6503    0.7869    0.5077    0.0283   0.01121  0.003826
   104/299    0.895G   0.02613   0.01651   0.00214   0.04478        95       320    0.9446    0.6838    0.7708    0.5041   0.02801   0.01122  0.003848
   105/299    0.895G   0.02531   0.01667  0.002304   0.04429        83       320    0.9311    0.7028    0.7751    0.5073   0.02722   0.01117  0.004049
   106/299    0.895G   0.02534   0.01732  0.001738    0.0444        97       320    0.9311     0.671    0.7836    0.5173   0.02774   0.01115  0.004225
   107/299    0.895G   0.02453    0.0163  0.002009   0.04283        70       320     0.909    0.6805    0.7772    0.5048   0.02826   0.01157  0.004592
   108/299    0.895G   0.02611   0.01634  0.002344   0.04479        74       320    0.8691    0.7332    0.7865    0.5146   0.02733   0.01102  0.003873
   109/299    0.895G   0.02513   0.01723  0.001893   0.04426        75       320    0.9624    0.7056    0.8021    0.5224   0.02747   0.01089  0.003782
   110/299    0.895G   0.02434   0.01655  0.001837   0.04273        92       320    0.9178    0.7424    0.8001    0.5225   0.02738   0.01098  0.003515
   111/299    0.895G   0.02552   0.01614  0.002016   0.04369       109       320    0.9636     0.708    0.7804    0.5113    0.0283   0.01113  0.003621
   112/299    0.895G   0.02492   0.01693  0.002137   0.04398        77       320    0.8874    0.6975    0.7923    0.5097   0.02844   0.01085  0.003781
   113/299    0.895G   0.02576   0.01779  0.001972   0.04553       111       320    0.9367    0.7285    0.7869    0.5133   0.02834   0.01106  0.004154
   114/299    0.895G   0.02431    0.0163  0.001921   0.04253        99       320    0.8353    0.7399    0.7953    0.5097   0.02757   0.01109   0.00401
   115/299    0.895G   0.02449   0.01645  0.001712   0.04265       181       320    0.9567    0.6618    0.7615    0.4909   0.02756   0.01115  0.004673
   116/299    0.895G     0.025   0.01495  0.001884   0.04183        70       320    0.9748    0.6615     0.755    0.4867   0.02811   0.01114  0.005183
   117/299    0.895G   0.02304   0.01546  0.001767   0.04027       104       320    0.9125    0.7358    0.7901    0.5021    0.0278   0.01111  0.003488
   118/299    0.895G   0.02496    0.0161  0.001602   0.04266        59       320    0.9557    0.7279     0.799    0.5157   0.02767   0.01113  0.003614
   119/299    0.895G   0.02425   0.01597  0.001879    0.0421        55       320    0.9174    0.6511    0.7735    0.5003   0.02715   0.01109  0.003722
   120/299    0.895G    0.0236   0.01548  0.001861   0.04094        64       320    0.9092    0.6964     0.777    0.4881   0.02714   0.01115  0.004354
   121/299    0.895G   0.02357   0.01575  0.001674   0.04099        57       320    0.9095    0.7191    0.7697    0.4937   0.02747   0.01135  0.004111
   122/299    0.895G   0.02362   0.01611   0.00177    0.0415        98       320    0.9339    0.7119    0.7946     0.508   0.02721   0.01107  0.003598
   123/299    0.895G   0.02349   0.01568  0.001654   0.04082       139       320    0.9261    0.7168    0.7987    0.5066   0.02706     0.011  0.003532
   124/299    0.895G   0.02442    0.0163  0.001873   0.04259        76       320      0.93    0.6731    0.7896    0.5061    0.0274   0.01115  0.003617
   125/299    0.895G    0.0242   0.01651  0.001809   0.04252        71       320     0.908    0.6734    0.7621    0.4795   0.02687   0.01094  0.004181
   126/299    0.895G   0.02296   0.01589  0.001913   0.04076        68       320     0.921    0.6853    0.7741    0.5047   0.02716   0.01106  0.003861
   127/299    0.895G   0.02238   0.01547  0.001623   0.03947        63       320    0.8874    0.6439    0.7685    0.5027    0.0267   0.01104  0.004185
   128/299    0.895G   0.02437   0.01616  0.001593   0.04213       126       320    0.9412    0.6217    0.7565    0.4943   0.02675   0.01114  0.004176
   129/299    0.895G   0.02387   0.01568  0.001788   0.04134        67       320    0.8085     0.708    0.7648    0.4989   0.02792   0.01138  0.003998
   130/299    0.895G   0.02263   0.01528  0.001763   0.03967        48       320    0.9363    0.6539    0.7534    0.4875   0.02772   0.01112  0.003964
   131/299    0.895G   0.02342   0.01609  0.001675   0.04118        43       320    0.8657    0.7146    0.7898    0.5083    0.0269   0.01074  0.003719
   132/299    0.895G    0.0231   0.01592  0.001844   0.04086        45       320    0.8557    0.7146    0.7842    0.5192   0.02672   0.01064   0.00389
   133/299    0.895G   0.02451   0.01674  0.001802   0.04305        81       320    0.8042    0.7092     0.776    0.4928   0.02709   0.01112  0.004404
   134/299    0.895G    0.0231   0.01544  0.001664   0.04021        90       320    0.8966    0.7076    0.7869    0.4976   0.02743    0.0113  0.004892
   135/299    0.895G   0.02402   0.01653  0.001477   0.04202       118       320    0.8098    0.7102     0.763    0.4947   0.02712   0.01113  0.004584
   136/299    0.895G   0.02351   0.01584  0.001715   0.04107        79       320    0.8713    0.7173    0.8069      0.53   0.02745   0.01119  0.003927
   137/299    0.895G   0.02354   0.01585  0.001614     0.041        82       320    0.8397    0.7278    0.7831     0.512   0.02691     0.011  0.003664
   138/299    0.895G   0.02299   0.01529  0.001667   0.03995        92       320    0.8702    0.6943    0.7769    0.5027   0.02708    0.0114   0.00386
   139/299    0.895G   0.02297   0.01552  0.001579   0.04007       107       320    0.8757    0.7107    0.7696    0.5005   0.02715   0.01121  0.003762
   140/299    0.895G   0.02317   0.01539  0.001426   0.03999        98       320    0.8598    0.6516    0.7426    0.4861   0.02667   0.01121  0.004764
   141/299    0.895G   0.02273   0.01565  0.001594   0.03997        79       320    0.9157    0.6485    0.7674    0.5009   0.02691   0.01099  0.004518
   142/299    0.895G   0.02195   0.01511  0.001394   0.03846        90       320    0.8585    0.7261    0.7602    0.4935   0.02697    0.0112   0.00453
   143/299    0.895G   0.02349   0.01491  0.001486   0.03988        89       320    0.8836     0.745    0.8018    0.5209   0.02674   0.01119   0.00369
   144/299    0.895G   0.02223   0.01516  0.001514    0.0389        88       320    0.8132     0.714     0.794    0.5163   0.02687   0.01114  0.004324
   145/299    0.895G   0.02239   0.01565   0.00143   0.03947       128       320    0.9453    0.7121    0.8192    0.5249   0.02648   0.01114  0.003497
   146/299    0.895G   0.02201   0.01507  0.001444   0.03852        93       320    0.8146    0.7794    0.8159    0.5187   0.02659    0.0114  0.003628
   147/299    0.895G   0.02208   0.01479  0.001373   0.03824        72       320    0.8445    0.7538    0.8038    0.5328   0.02681   0.01112  0.003381
   148/299    0.895G   0.02151   0.01562  0.001259   0.03839       114       320    0.9047    0.7256    0.7729    0.5002   0.02656   0.01078  0.004786
   149/299    0.895G   0.02245   0.01603  0.001497   0.03997       140       320    0.9306    0.6697     0.763    0.4963   0.02679   0.01135   0.00424
   150/299    0.895G   0.02222    0.0153   0.00164   0.03916        59       320    0.8739    0.7303    0.7834    0.5145   0.02722   0.01103  0.003855
   151/299    0.895G   0.02206   0.01507  0.001286   0.03841        84       320    0.9522    0.6552    0.7836    0.5022    0.0272   0.01099  0.004272
   152/299    0.895G   0.02245   0.01479  0.001381   0.03861        64       320    0.8781    0.7109    0.7702    0.4958   0.02686   0.01119  0.004276
   153/299    0.895G   0.02227   0.01448  0.001304   0.03805        30       320    0.8644    0.7052    0.7823     0.509     0.027   0.01106  0.004017
   154/299    0.895G   0.02185   0.01484  0.001376   0.03807        68       320    0.8067    0.7563    0.7794    0.5119   0.02747   0.01095  0.004463
   155/299    0.895G   0.02182   0.01399  0.001356   0.03717        61       320    0.8631    0.6551    0.7554    0.4831   0.02716   0.01107  0.004609
   156/299    0.895G     0.022   0.01518  0.001315    0.0385        55       320    0.8579    0.6536    0.7395    0.4779   0.02693   0.01102  0.004567
   157/299    0.895G   0.02189   0.01522  0.001479   0.03859        54       320    0.8636     0.699     0.787    0.5164   0.02646   0.01084  0.004015
   158/299    0.895G   0.02149   0.01546  0.001668   0.03862       111       320    0.7911    0.7807    0.7784    0.5125   0.02644   0.01097  0.004298
   159/299    0.895G   0.02142   0.01488    0.0015    0.0378        69       320    0.7907    0.7742    0.7867    0.5182   0.02663   0.01108  0.004488
